CarParkID,Development,LotType,Agency,id,lat,lng
L1,BLK 415-420 LOR LEW LIAN,C,HDB,L1_C,1.349505832,103.8753546
M1,BLK 85 TO 94/92A PIPIT ROAD,C,HDB,M1_C,1.323074781,103.8864364
M1,BLK 85 TO 94/92A PIPIT ROAD,H,HDB,M1_H,1.323074781,103.8864364
M1,BLK 85 TO 94/92A PIPIT ROAD,Y,HDB,M1_Y,1.323074781,103.8864364
M3,BLK 19 TO 21/23/24/30/32 BALAM RD,C,HDB,M3_C,1.330680856,103.8857074
M4,BLK 22/34/36 CIRCUIT RD,C,HDB,M4_C,1.329022794,103.8876597
P1,BLK 196 PUNGGOL FIELD,C,HDB,P1_C,1.399325523,103.907016
P2,BLK 199 PUNGGOL FIELD,C,HDB,P2_C,1.400096829,103.9060155
P3,BLK 101 PUNGGOL FIELD,C,HDB,P3_C,1.398456837,103.9057745
P4,BLK 105 EDGEFIELD PLAINS,C,HDB,P4_C,1.397227162,103.9056229
P5,BLK 107 PUNGGOL FIELD,C,HDB,P5_C,1.396877555,103.9076419
P6,BLK 109 PUNGGOL FIELD,C,HDB,P6_C,1.395368569,103.9094623
P7,BLK 119 EDGEFIELD PLAINS,C,HDB,P7_C,1.395427967,103.9064702
P8,BLK 126 EDGEDALE PLAINS,C,HDB,P8_C,1.394228446,103.9109139
P9,BLK 128 PUNGGOL FIELD WALK,C,HDB,P9_C,1.392923918,103.9125375
Q8,BLK 19/23A/23B QUEENS CLOSE,H,HDB,Q8_H,1.294206414,103.7995693
Q8,BLK 19/23A/23B QUEENS CLOSE,C,HDB,Q8_C,1.294206414,103.7995693
Q8,BLK 19/23A/23B QUEENS CLOSE,Y,HDB,Q8_Y,1.294206414,103.7995693
T1,BLK 101/108 TAMPINES ST 11,C,HDB,T1_C,1.347395724,103.9462336
T3,BLK 109/114 TAMPINES ST 11,C,HDB,T3_C,1.346598132,103.9474328
T4,BLK 124/127 TAMPINES STREET 11,C,HDB,T4_C,1.345420018,103.9498142
T7,BLK 136/138 TAMPINES ST 11,C,HDB,T7_C,1.345469697,103.9458054
T8,BLK 137/139 TAMPINES ST 11,C,HDB,T8_C,1.346414231,103.9441901
T9,BLK 140/148 TAMPINES STREET 12,C,HDB,T9_C,1.347816332,103.9436467
U1,BLK 101/110 BUKIT BATOK WEST AVE 6,C,HDB,U1_C,1.348389703,103.7469815
U2,BLK 111/132 BUKIT BATOK WEST AVE 6,C,HDB,U2_C,1.349872484,103.7463093
U3,BLK 133/139 BUKIT BATOK WEST AVENUE 6,C,HDB,U3_C,1.351391957,103.7443516
U4,BLK 140/143 BUKIT BATOK STREET 11,C,HDB,U4_C,1.350653565,103.74322
U5,BLK 144/149 BUKIT BATOK WEST AVENUE 6,C,HDB,U5_C,1.350137241,103.7446779
