SUBZONE_N,SUBZONE_C,PLN_AREA_N,PLN_AREA_C,REGION_N,REGION_C
YIO CHU KANG WEST,AMSZ09,ANG MO KIO,AM,NORTH-EAST REGION,NER
TRAFALGAR,HGSZ05,HOUGANG,HG,NORTH-EAST REGION,NER
TECK WHYE,CKSZ01,CHOA CHU KANG,CK,WEST REGION,WR
CHOA CHU KANG CENTRAL,CKSZ03,CHOA CHU KANG,CK,WEST REGION,WR
FAJAR,BPSZ03,BUKIT PANJANG,BP,WEST REGION,WR
SENJA,BPSZ01,BUKIT PANJANG,BP,WEST REGION,WR
SAUJANA,BPSZ02,BUKIT PANJANG,BP,WEST REGION,WR
SELETAR HILLS,SGSZ01,SERANGOON,SG,NORTH-EAST REGION,NER
COMPASSVALE,SESZ05,SENGKANG,SE,NORTH-EAST REGION,NER
YIO CHU KANG EAST,AMSZ12,ANG MO KIO,AM,NORTH-EAST REGION,NER
YIO CHU KANG,AMSZ10,ANG MO KIO,AM,NORTH-EAST REGION,NER
LOYANG WEST,PRSZ06,PASIR RIS,PR,EAST REGION,ER
TAGORE,AMSZ08,ANG MO KIO,AM,NORTH-EAST REGION,NER
PASIR RIS PARK,PRSZ04,PASIR RIS,PR,EAST REGION,ER
CHOA CHU KANG NORTH,CKSZ05,CHOA CHU KANG,CK,WEST REGION,WR
RIVERVALE,SESZ02,SENGKANG,SE,NORTH-EAST REGION,NER
YIO CHU KANG NORTH,AMSZ11,ANG MO KIO,AM,NORTH-EAST REGION,NER
CHANGI POINT,CHSZ01,CHANGI,CH,EAST REGION,ER
SENGKANG TOWN CENTRE,SESZ03,SENGKANG,SE,NORTH-EAST REGION,NER
ANCHORVALE,SESZ04,SENGKANG,SE,NORTH-EAST REGION,NER
SENGKANG WEST,SESZ07,SENGKANG,SE,NORTH-EAST REGION,NER
FERNVALE,SESZ06,SENGKANG,SE,NORTH-EAST REGION,NER
PUNGGOL FIELD,PGSZ04,PUNGGOL,PG,NORTH-EAST REGION,NER
YEW TEE,CKSZ06,CHOA CHU KANG,CK,WEST REGION,WR
PASIR RIS WAFER FAB PARK,PRSZ01,PASIR RIS,PR,EAST REGION,ER
MATILDA,PGSZ03,PUNGGOL,PG,NORTH-EAST REGION,NER
WATERWAY EAST,PGSZ05,PUNGGOL,PG,NORTH-EAST REGION,NER
GALI BATU,SKSZ03,SUNGEI KADUT,SK,NORTH REGION,NR
SPRINGLEAF,YSSZ06,YISHUN,YS,NORTH REGION,NR
PUNGGOL TOWN CENTRE,PGSZ02,PUNGGOL,PG,NORTH-EAST REGION,NER
PUNGGOL CANAL,PGSZ06,PUNGGOL,PG,NORTH-EAST REGION,NER
CENTRAL WATER CATCHMENT,CCSZ01,CENTRAL WATER CATCHMENT,CC,NORTH REGION,NR
SEMBAWANG STRAITS,SBSZ06,SEMBAWANG,SB,NORTH REGION,NR
THE WHARVES,SBSZ07,SEMBAWANG,SB,NORTH REGION,NR
SENOKO NORTH,SBSZ08,SEMBAWANG,SB,NORTH REGION,NR
CRAWFORD,KLSZ09,KALLANG,KL,CENTRAL REGION,CR
TUAS BAY,TSSZ04,TUAS,TS,WEST REGION,WR
TUAS VIEW,TSSZ05,TUAS,TS,WEST REGION,WR
BAHAR,WCSZ03,WESTERN WATER CATCHMENT,WC,WEST REGION,WR
CLEANTECH,WCSZ02,WESTERN WATER CATCHMENT,WC,WEST REGION,WR
LAKESIDE (BUSINESS),JESZ05,JURONG EAST,JE,WEST REGION,WR
PARK,THSZ03,TENGAH,TH,WEST REGION,WR
BRICKLAND,THSZ04,TENGAH,TH,WEST REGION,WR
FOREST HILL,THSZ01,TENGAH,TH,WEST REGION,WR
PLANTATION,THSZ06,TENGAH,TH,WEST REGION,WR
GARDEN,THSZ05,TENGAH,TH,WEST REGION,WR
AIRPORT ROAD,PLSZ04,PAYA LEBAR,PL,EAST REGION,ER
CHANGI WEST,CHSZ02,CHANGI,CH,EAST REGION,ER
HOLLAND DRIVE,QTSZ02,QUEENSTOWN,QT,CENTRAL REGION,CR
CHANGI AIRPORT,CHSZ03,CHANGI,CH,EAST REGION,ER
